City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Hilo,US,2021-11-28 21:24:52,19.7297,-155.09,80.33,61,1,11.5
92,Nikolskoye,RU,2021-11-28 21:24:52,59.7035,30.7861,24.69,92,96,5.37
93,Uarini,BR,2021-11-28 21:24:52,-2.99,-65.1083,84.15,93,99,2.62
94,Fortuna,US,2021-11-28 21:22:05,40.5982,-124.1573,53.94,100,90,0.0
95,Sao Filipe,CV,2021-11-28 21:24:53,14.8961,-24.4956,76.8,70,95,14.7
96,Buckeye,US,2021-11-28 21:24:53,33.3703,-112.5838,79.09,16,0,6.91
97,Olafsvik,IS,2021-11-28 21:24:53,64.8945,-23.7142,41.23,95,100,11.1
98,Torres,BR,2021-11-28 21:24:54,-29.3353,-49.7269,73.22,85,100,3.6
99,Deputatskiy,RU,2021-11-28 21:24:54,69.3,139.9,-12.33,96,100,5.1
100,Opuwo,NA,2021-11-28 21:24:54,-18.0607,13.84,71.15,26,85,5.26
101,Guane,CU,2021-11-28 21:24:54,22.2025,-84.0875,80.51,53,13,0.74
102,Salinas,US,2021-11-28 21:24:55,36.6777,-121.6555,75.29,28,1,0.0
103,Kapaa,US,2021-11-28 21:24:55,22.0752,-159.319,80.92,61,1,13.8
104,Muros,ES,2021-11-28 21:24:55,42.7762,-9.0603,52.3,82,77,13.85
105,Salalah,OM,2021-11-28 21:24:56,17.0151,54.0924,75.29,73,0,2.3
106,Fort Collins,US,2021-11-28 21:24:56,40.5853,-105.0844,65.01,28,1,4.61
107,Okhotsk,RU,2021-11-28 21:24:56,59.3833,143.3,-6.93,85,10,18.57
108,Merauke,ID,2021-11-28 21:24:56,-8.4667,140.3333,79.97,80,100,3.74
109,Carnarvon,AU,2021-11-28 21:24:57,-24.8667,113.6333,73.47,68,0,12.66
110,Victoria,HK,2021-11-28 21:24:20,22.2855,114.1577,67.98,67,34,6.04
111,Brae,GB,2021-11-28 21:24:57,60.3964,-1.353,31.91,54,100,6.82
112,Diego De Almagro,CL,2021-11-28 21:21:28,-26.3667,-70.05,79.11,15,0,11.41
113,Imeni Babushkina,RU,2021-11-28 21:24:57,59.7573,43.1285,33.58,90,100,11.61
114,Arraial Do Cabo,BR,2021-11-28 21:24:58,-22.9661,-42.0278,76.86,78,40,6.91
115,Kitsuki,JP,2021-11-28 21:24:58,33.4167,131.6167,45.19,74,63,4.25
116,Saint-Philippe,RE,2021-11-28 21:24:58,-21.3585,55.7679,76.59,83,42,3.65
117,Kavieng,PG,2021-11-28 21:24:59,-2.5744,150.7967,81.84,78,64,8.41
118,Xichang,CN,2021-11-28 21:24:59,27.8964,102.2634,44.65,85,16,1.43
119,Mahebourg,MU,2021-11-28 21:24:59,-20.4081,57.7,73.69,83,20,3.44
120,Avarua,CK,2021-11-28 21:25:00,-21.2078,-159.775,80.65,61,20,5.75
121,Sola,VU,2021-11-28 21:25:00,-13.8833,167.55,81.27,83,75,0.0
122,Harper,LR,2021-11-28 21:25:00,4.375,-7.7169,79.3,81,64,5.08
123,Tautira,PF,2021-11-28 21:25:00,-17.7333,-149.15,86.02,80,90,18.66
124,Koutsouras,GR,2021-11-28 21:25:01,35.0339,25.9469,68.54,80,100,9.01
125,Cidreira,BR,2021-11-28 21:25:01,-30.1811,-50.2056,72.3,87,100,8.61
126,Saskylakh,RU,2021-11-28 21:25:01,71.9167,114.0833,-19.86,100,100,4.43
127,Butaritari,KI,2021-11-28 21:25:02,3.0707,172.7902,81.61,78,86,13.18
128,Shumyachi,RU,2021-11-28 21:25:02,53.8583,32.4242,36.97,93,100,10.18
129,Ribeira Grande,PT,2021-11-28 21:25:02,38.5167,-28.7,61.2,72,20,6.91
130,Khatanga,RU,2021-11-28 21:25:02,71.9667,102.5,-8.03,98,100,9.31
131,Bredasdorp,ZA,2021-11-28 21:25:03,-34.5322,20.0403,62.89,81,12,5.19
132,Mayo,US,2021-11-28 21:25:03,38.8876,-76.5119,55.44,62,1,0.0
133,Clyde River,CA,2021-11-28 21:25:03,70.4692,-68.5914,-3.77,84,100,18.41
134,Samarai,PG,2021-11-28 21:25:04,-10.6167,150.6667,82.06,81,100,8.86
135,Havoysund,NO,2021-11-28 21:26:04,70.9963,24.6622,11.28,90,55,11.3
136,Sorbhog,IN,2021-11-28 21:26:04,26.5,90.8667,59.5,66,39,4.43
137,Chubbuck,US,2021-11-28 21:26:05,42.9208,-112.4661,57.09,30,1,14.97
138,Glyadyanskoye,RU,2021-11-28 21:26:05,54.9075,65.0883,20.07,76,100,11.36
139,Lata,PT,2021-11-28 21:26:05,40.1629,-8.3327,54.01,94,97,9.08
140,Soyo,AO,2021-11-28 21:26:06,-6.1349,12.3689,78.64,89,90,5.61
141,Lavrentiya,RU,2021-11-28 21:26:06,65.5833,-171.0,-13.04,92,3,6.82
142,Chokurdakh,RU,2021-11-28 21:26:06,70.6333,147.9167,-39.03,100,79,0.58
143,Port Hardy,CA,2021-11-28 21:26:07,50.6996,-127.4199,50.18,100,75,4.61
144,Shirgaon,IN,2021-11-28 21:26:07,19.7,72.7,75.52,48,60,5.64
145,Iquique,CL,2021-11-28 21:24:18,-20.2208,-70.1431,66.24,73,95,4.88
146,Coolum Beach,AU,2021-11-28 21:26:07,-26.5333,153.1,73.0,84,100,12.44
147,Gao,ML,2021-11-28 21:26:08,16.6362,1.637,79.3,12,91,10.25
148,Quatre Cocos,MU,2021-11-28 21:26:08,-20.2078,57.7625,73.51,71,4,4.79
149,Bahia Honda,CU,2021-11-28 21:26:08,22.9036,-83.1592,75.81,63,21,8.12
150,Codrington,AU,2021-11-28 21:26:08,-38.2667,141.9667,54.66,77,1,8.21
151,Lufkin,US,2021-11-28 21:26:09,31.3382,-94.7291,64.51,72,40,3.44
152,Sabzevar,IR,2021-11-28 21:26:09,36.2126,57.6819,50.34,45,99,1.95
153,Ganzhou,CN,2021-11-28 21:26:10,28.8184,115.4327,53.98,80,7,3.91
154,Cefalu,IT,2021-11-28 21:26:10,38.0386,14.0229,53.26,74,48,10.47
155,Klaksvik,FO,2021-11-28 21:26:10,62.2266,-6.589,36.52,63,100,7.56
156,Palmer,US,2021-11-28 21:26:11,42.1584,-72.3287,34.41,64,90,0.0
157,Tuktoyaktuk,CA,2021-11-28 21:26:11,69.4541,-133.0374,-9.4,77,90,19.57
158,Itupeva,BR,2021-11-28 21:26:11,-23.1531,-47.0578,83.93,45,0,6.91
159,Labuhan,ID,2021-11-28 21:26:11,-6.8844,112.2051,75.88,90,100,3.13
160,Nanortalik,GL,2021-11-28 21:26:12,60.1432,-45.2371,41.18,93,100,13.42
161,Vero Beach,US,2021-11-28 21:26:12,27.6386,-80.3973,71.67,38,1,4.61
162,Ilo,PE,2021-11-28 21:26:12,-17.6394,-71.3375,66.96,76,92,5.1
163,Pontianak,ID,2021-11-28 21:26:13,-0.0333,109.3333,75.18,94,90,2.3
164,Yar-Sale,RU,2021-11-28 21:26:13,66.8333,70.8333,-6.25,94,100,8.1
165,Nouadhibou,MR,2021-11-28 21:26:13,20.931,-17.0347,67.98,68,100,24.16
166,Half Moon Bay,US,2021-11-28 21:26:13,37.4636,-122.4286,68.18,55,1,3.44
167,Kruisfontein,ZA,2021-11-28 21:26:14,-34.0033,24.7314,63.09,78,2,17.54
168,Pevek,RU,2021-11-28 21:26:14,69.7008,170.3133,1.9,89,100,1.79
169,Longyearbyen,SJ,2021-11-28 21:26:14,78.2186,15.6401,10.24,61,75,19.57
170,Bluff,NZ,2021-11-28 21:26:15,-46.6,168.3333,55.81,68,53,19.35
171,Hobyo,SO,2021-11-28 21:26:15,5.3505,48.5268,81.54,76,42,15.14
172,Andenes,NO,2021-11-28 21:26:15,69.3143,16.1194,28.38,86,75,16.11
173,Sabya,SA,2021-11-28 21:26:15,17.1495,42.6254,82.02,68,1,5.12
174,Road Town,VG,2021-11-28 21:26:16,18.4167,-64.6167,84.24,74,40,5.75
175,Fuyu,CN,2021-11-28 21:26:16,45.1833,124.8167,18.72,89,70,8.12
176,Prabumulih,ID,2021-11-28 21:26:16,-3.45,104.25,72.32,88,91,0.72
177,Puerto Ayora,EC,2021-11-28 21:27:17,-0.7393,-90.3518,76.96,81,85,10.18
178,Severo-Kurilsk,RU,2021-11-28 21:27:17,50.6789,156.125,32.68,93,100,11.95
179,Vilyuysk,RU,2021-11-28 21:27:17,63.7553,121.6247,-12.06,99,95,4.74
180,Mecca,SA,2021-11-28 21:22:39,21.4267,39.8261,78.94,55,0,2.15
181,Mount Gambier,AU,2021-11-28 21:27:18,-37.8333,140.7667,55.31,82,0,8.05
182,Kirakira,SB,2021-11-28 21:25:10,-10.4544,161.9205,83.16,77,86,6.89
183,Starokucherganovka,RU,2021-11-28 21:27:18,46.3248,47.9555,35.53,93,75,6.71
184,Olga,RU,2021-11-28 21:27:18,43.7444,135.2892,33.84,57,59,4.68
185,Bloemhof,ZA,2021-11-28 21:27:18,-27.6469,25.607,69.24,23,3,7.9
186,Codajas,BR,2021-11-28 21:27:19,-3.8367,-62.0569,82.44,80,95,1.05
187,Synya,RU,2021-11-28 21:27:19,65.3718,58.0387,16.36,96,100,4.9
188,Bambous Virieux,MU,2021-11-28 21:27:19,-20.3428,57.7575,73.65,83,20,3.44
189,Jeremie,HT,2021-11-28 21:27:20,18.65,-74.1167,79.32,77,46,4.83
190,Chistogorskiy,RU,2021-11-28 21:27:20,53.9835,87.3843,19.99,94,100,5.06
191,Lopandino,RU,2021-11-28 21:27:20,52.4666,34.8163,41.18,95,100,12.28
192,Strelka,RU,2021-11-28 21:27:20,58.0728,93.0344,23.77,89,100,13.38
193,Leshukonskoye,RU,2021-11-28 21:27:21,64.8989,45.7622,11.7,93,100,6.85
194,Vao,NC,2021-11-28 21:27:21,-22.6667,167.4833,75.92,88,22,21.56
195,Aleksandrovsk-Sakhalinskiy,RU,2021-11-28 21:27:21,50.8975,142.1561,25.32,93,100,4.94
196,Whitehorse,CA,2021-11-28 21:27:22,60.7161,-135.0538,-3.23,77,20,0.0
197,Kurchum,KZ,2021-11-28 21:27:22,48.5722,83.6542,7.38,82,3,3.11
198,Coquimbo,CL,2021-11-28 21:25:58,-29.9533,-71.3436,64.13,72,0,13.8
199,Nova Zagora,BG,2021-11-28 21:27:22,42.4833,26.0167,55.67,81,97,10.09
200,Broken Hill,AU,2021-11-28 21:27:23,-31.95,141.4333,69.51,56,10,8.05
201,Sept-Iles,CA,2021-11-28 21:27:23,50.2001,-66.3821,30.72,69,75,9.22
202,Kaitangata,NZ,2021-11-28 21:27:23,-46.2817,169.8464,58.39,50,100,6.93
203,Emerald,AU,2021-11-28 21:27:23,-23.5333,148.1667,75.34,100,75,8.05
204,Bartica,GY,2021-11-28 21:27:24,6.4,-58.6167,82.72,93,100,3.2
205,Asau,RO,2021-11-28 21:27:24,46.4333,26.4,41.92,72,100,4.79
206,Escanaba,US,2021-11-28 21:26:10,45.7453,-87.0646,35.56,55,90,6.91
207,Bethel,US,2021-11-28 21:25:00,41.3712,-73.414,37.98,75,90,3.44
