City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
354,Fort Nelson,58.8053,-122.7002,-15.21,76,75,3.44,CA,2021-12-04 22:43:09,light snow
355,Vineland,39.4862,-75.0257,47.79,66,1,0.0,US,2021-12-04 22:38:31,clear sky
356,Kerema,-7.9631,145.7785,82.49,75,97,3.2,PG,2021-12-04 22:43:23,overcast clouds
357,Strezhevoy,60.7333,77.5889,8.58,96,100,5.19,RU,2021-12-04 22:43:24,light snow
358,Aasiaat,68.7098,-52.8699,37.29,44,100,47.58,GL,2021-12-04 22:43:24,overcast clouds
359,Pokhara,28.2333,83.9833,57.47,56,6,3.51,NP,2021-12-04 22:43:10,clear sky
360,Gat,31.61,34.7642,66.4,41,100,5.28,IL,2021-12-04 22:43:24,overcast clouds
361,Krasnyy Chikoy,50.3643,108.7512,16.43,94,98,2.06,RU,2021-12-04 22:43:25,overcast clouds
362,Matagami,49.7502,-77.6328,3.31,85,90,2.3,CA,2021-12-04 22:44:25,overcast clouds
363,Bambanglipuro,-7.95,110.2833,63.61,89,100,5.46,ID,2021-12-04 22:44:25,overcast clouds
364,Margherita,27.2833,95.6833,61.99,92,72,1.92,IN,2021-12-04 22:44:25,broken clouds
365,Tezu,27.9167,96.1667,63.05,56,37,3.85,IN,2021-12-04 22:44:26,scattered clouds
366,Christchurch,-43.5333,172.6333,80.33,54,69,4.0,NZ,2021-12-04 22:44:26,broken clouds
367,Yinchuan,38.4681,106.2731,31.59,25,0,5.01,CN,2021-12-04 22:44:26,clear sky
368,Leninsk,48.7119,45.1994,37.26,86,100,5.1,RU,2021-12-04 22:44:27,overcast clouds
369,Kirakira,-10.4544,161.9205,84.7,72,63,2.42,SB,2021-12-04 22:44:27,broken clouds
370,Sorong,-0.8833,131.25,80.89,80,72,3.85,ID,2021-12-04 22:44:27,broken clouds
371,Vao,-22.6667,167.4833,76.33,84,83,18.05,NC,2021-12-04 22:44:28,light rain
372,Goderich,43.7501,-81.7165,36.91,55,100,17.27,CA,2021-12-04 22:43:06,overcast clouds
373,Souillac,-20.5167,57.5167,77.38,78,20,5.75,MU,2021-12-04 22:44:28,few clouds
374,Semily,50.6019,15.3355,34.61,94,100,7.0,CZ,2021-12-04 22:44:28,snow
375,Touros,-5.1989,-35.4608,81.5,80,68,14.88,BR,2021-12-04 22:44:29,broken clouds
376,Baft,29.234,56.6057,40.39,30,0,5.08,IR,2021-12-04 22:44:29,clear sky
377,Kidal,18.4411,1.4078,74.59,15,96,5.5,ML,2021-12-04 22:44:29,overcast clouds
378,Madimba,-10.4,40.3333,78.51,82,87,8.19,TZ,2021-12-04 22:44:29,overcast clouds
379,Turinskaya Sloboda,57.6232,64.3858,34.52,91,100,14.99,RU,2021-12-04 22:44:30,light rain
380,Zhigansk,66.7697,123.3711,-14.67,98,100,13.71,RU,2021-12-04 22:40:18,light snow
381,Akdepe,42.0551,59.3788,26.6,79,99,2.35,TM,2021-12-04 22:44:30,overcast clouds
382,Sola,-13.8833,167.55,80.38,76,100,16.11,VU,2021-12-04 22:41:29,overcast clouds
383,Arenapolis,-14.4503,-56.8461,80.24,81,94,0.72,BR,2021-12-04 22:44:30,light rain
384,Barreirinhas,-2.7469,-42.8264,77.43,88,78,5.82,BR,2021-12-04 22:44:31,broken clouds
385,Tessalit,20.1986,1.0114,65.8,17,65,9.46,ML,2021-12-04 22:44:31,broken clouds
386,Vallenar,-28.5708,-70.7581,79.39,25,3,5.91,CL,2021-12-04 22:44:31,clear sky
387,Biak,-0.9131,122.8766,78.08,82,95,1.95,ID,2021-12-04 22:44:32,overcast clouds
388,Sangmelima,2.9333,11.9833,72.7,86,96,2.17,CM,2021-12-04 22:44:32,overcast clouds
389,Te Anau,-45.4167,167.7167,58.14,91,96,4.68,NZ,2021-12-04 22:44:32,light rain
390,Casablanca,33.5928,-7.6192,57.33,82,7,4.0,MA,2021-12-04 22:43:56,clear sky
391,Jacareacanga,-6.2222,-57.7528,74.66,97,100,0.81,BR,2021-12-04 22:44:33,overcast clouds
392,Venado Tuerto,-33.7456,-61.9688,67.78,83,84,10.16,AR,2021-12-04 22:44:33,broken clouds
393,Princeton,25.5384,-80.4089,77.02,68,40,6.91,US,2021-12-04 22:41:37,scattered clouds
394,Coquimbo,-29.9533,-71.3436,62.33,72,40,11.5,CL,2021-12-04 22:44:33,scattered clouds
395,Oktyabrskiy,54.4815,53.471,31.82,93,100,8.08,RU,2021-12-04 22:44:34,light snow
396,Sinazongwe,-17.2614,27.4618,81.3,44,1,4.38,ZM,2021-12-04 22:44:34,clear sky
397,Adrar,20.5022,-10.0711,65.46,16,84,11.56,MR,2021-12-04 22:44:34,broken clouds
398,Buchanan,5.8808,-10.0467,78.76,84,62,5.75,LR,2021-12-04 22:44:34,broken clouds
399,Hithadhoo,-0.6,73.0833,81.59,75,87,11.95,MV,2021-12-04 22:44:35,overcast clouds
400,Samarai,-10.6167,150.6667,83.05,72,100,4.07,PG,2021-12-04 22:44:35,overcast clouds
401,Kavaratti,10.5669,72.642,80.51,79,29,7.29,IN,2021-12-04 22:43:01,scattered clouds
402,Christiana,-27.914,25.1611,61.75,88,89,11.97,ZA,2021-12-04 22:44:35,overcast clouds
403,Jimenez,28.3333,-105.4,77.22,22,43,4.76,MX,2021-12-04 22:44:36,scattered clouds
404,Warrington,53.3925,-2.5802,46.51,78,75,8.99,GB,2021-12-04 22:44:36,light intensity shower rain
405,Ranong,9.9658,98.6348,70.63,84,40,6.82,TH,2021-12-04 22:44:36,scattered clouds
406,Nome,64.5011,-165.4064,10.47,92,90,4.61,US,2021-12-04 22:44:36,mist
407,Champerico,14.3,-91.9167,93.74,68,0,7.11,GT,2021-12-04 22:44:37,clear sky
408,Port Blair,11.6667,92.75,78.89,79,36,8.88,IN,2021-12-04 22:44:37,scattered clouds
409,Maridi,4.9158,29.4742,73.49,55,77,3.4,SS,2021-12-04 22:45:37,broken clouds
410,Gannan,47.9147,123.5031,8.1,98,79,0.43,CN,2021-12-04 22:45:39,broken clouds
411,Tabas,33.5959,56.9244,46.8,46,38,1.3,IR,2021-12-04 22:45:39,scattered clouds
412,Gobabis,-22.45,18.9667,67.26,14,43,7.07,NA,2021-12-04 22:45:39,scattered clouds
413,Itarema,-2.9248,-39.9167,80.78,78,36,13.71,BR,2021-12-04 22:45:39,scattered clouds
414,Portland,45.5234,-122.6762,52.45,92,90,4.0,US,2021-12-04 22:43:29,light rain
415,Naze,28.3667,129.4833,58.12,60,97,10.18,JP,2021-12-04 22:42:28,overcast clouds
